type: Vehicles.CarPassanger,plate:ABC-1234,make:Toyota,model:Yaris,transmission:Manual,year:2020,
type: Vehicles.CarPassanger,plate:XYZ-5678,make:VW,model:Golf,transmission:Automatic,year:2019,
type: Vehicles.CarPassanger,plate:MNO-9012,make:Nissan,model:Qashqai,transmission:Manual,year:2021,
type: Vehicles.CompanyVan,plate:DEF-3456,make:Ford,model:Transit,transmission:Automatic,year:2018,
type: Vehicles.CarPassanger,plate:PQR-7890,make:Hyundai,model:i20,transmission:Manual,year:2020,
type: Vehicles.CarPassanger,plate:STU-1234,make:Opel,model:Corsa,transmission:Automatic,year:2019,
type: Vehicles.CompanyVan,plate:VWX-5678,make:Mercedes,model:Sprinter,transmission:Automatic,year:2020,
type: Vehicles.CarPassanger,plate:YZA-9012,make:Fiat,model:500,transmission:Manual,year:2018,
type: Vehicles.CarPassanger,plate:BCD-3456,make:Peugeot,model:208,transmission:Manual,year:2019,
type: Vehicles.CompanyVan,plate:EFG-7890,make:Renault,model:Master,transmission:Automatic,year:2018,
type: Vehicles.CarPassanger,plate:HIJ-1234,make:Skoda,model:Octavia,transmission:Automatic,year:2020,
type: Vehicles.CarPassanger,plate:KLM-5678,make:Suzuki,model:Swift,transmission:Automatic,year:2019,
type: Vehicles.CompanyVan,plate:NOP-9012,make:Fiat,model:Ducato,transmission:Automatic,year:2018,
type: Vehicles.CarPassanger,plate:QRS-3456,make:BMW,model:1 Series,transmission:Automatic,year:2020,
type: Vehicles.CarPassanger,plate:TUV-7890,make:Audi,model:A3,transmission:Automatic,year:2019,
type: Vehicles.CarPassanger,plate:XNX-9901,make:Lancia,model:Delta,transmission:Manual,year:2009,
